,,,,,,,Anomaly In Fuel Consumption ,,,,,,,
,,,,,,,,,,,,,,
Sl.No.,Driver's code,Truck,Tot.Fuel ,Odo - Min,Odo - Max,Total Dist. Driven,MPG Truck/Driver,Distance ,Tot.Fuel Burned,MPG,Fuel Delta - (Fuel Purchased -Fuel Burned),,,
,,,Purchased,,,,,,,,,,,
,,,,,,,,,,,,,,
1044,CANP,1658,3424.380,495206.8,518325.9,23119.1,6.751,23584,3376.8,6.984,47.580,,,
1045,MCCST,1570,171.220,554057.1,554953.3,896.2,5.234,896,125.1,7.162,46.120,,,
1046,FARMI,1564,50.240,530940.8,531259.9,319.1,6.352,20,4.5,4.444,45.740,,,
1047,BROMIC,1650,5370.550,478426.6,514412.2,35985.6,6.701,35937,5326,6.747,44.550,,,
1048,BAKM,1969,11679.360,43595.2,128276.5,84681.3,7.251,85039,11636,7.308,43.360,,,
1049,FALA,1687,2607.990,319172.8,339186.6,20013.8,7.674,19387,2565.1,7.558,42.890,,,
1050,OWESH,1758,5395.280,303622.5,338899.8,35277.3,6.539,36840,5352.5,6.883,42.780,,,
1051,STOC,1954,2012.430,176874.3,192421.5,15547.2,7.726,15072,1970,7.651,42.430,,,
1052,ROAJO,1689,5222.260,361022.8,398135.8,37113,7.107,38014,5179.9,7.339,42.360,,,
1053,JOHM01,1908,198.080,184512.2,186178,1665.8,8.410,1254,155.8,8.049,42.280,,,
1054,TALM,1909,2529.900,89302.7,106791.4,17488.7,6.913,17111,2488.5,6.876,41.400,,,
1055,GERJ,2038,294.040,50032,51880.2,1848.2,6.286,1780,253.2,7.030,40.840,,,
1056,ARNMA,1670,2159.590,441539.3,458105.6,16566.3,7.671,15688,2119.1,7.403,40.490,,,
1057,BAYB,1777,562.790,322879.3,327070.7,4191.4,7.448,3616,523.3,6.910,39.490,,,
1058,CAREL,1656,396.810,523282.1,525367.8,2085.7,5.256,2032,357.9,5.678,38.910,,,
1059,COLJI,1674,1443.890,441435.6,451525.1,10089.5,6.988,9895,1405.2,7.042,38.690,,,
1060,MEYB,1715,4224.900,341855.7,372606.2,30750.5,7.278,30278,4187,7.231,37.900,,,
1061,REYM,1674,102.470,513974.7,514538,563.3,5.497,568,64.8,8.765,37.670,,,
1062,SCHN,1704,6967.580,288417.6,334062.9,45645.3,6.551,47337,6932.8,6.828,34.780,,,
1063,KLUR,1761,2878.860,313254.9,332040.8,18785.9,6.525,19130,2844.6,6.725,34.260,,,
1064,MCMKE,1839,4829.770,128881.6,162429.9,33548.3,6.946,35000,4796.2,7.297,33.570,,,
1065,JAML,1672,658.220,354397.2,357796.9,3399.7,5.165,4242,624.7,6.790,33.520,,,
1066,DIXGR,1615,6757.390,463434.9,511713,48278.1,7.144,47535,6724.2,7.069,33.190,,,
1067,SHET,1535,591.290,575347.6,579329.6,3982,6.734,3665,558.4,6.563,32.890,,,
1068,HOLS,2004,12304.080,35653.4,122289.4,86636,7.041,87681,12271.9,7.145,32.180,,,
1069,HARMIC,1658,4177.300,464703.1,493860.8,29157.7,6.980,29473,4145.4,7.110,31.900,,,
1070,MCAD,1585,3013.790,513931.8,531001.6,17069.8,5.664,17662,2982.2,5.922,31.590,,,
1071,YOUJE,1795,4613.160,275874.7,309081.1,33206.4,7.198,33202,4582.5,7.245,30.660,,,
1072,THON,1677,856.290,441352.1,447491.3,6139.2,7.170,6043,826,7.316,30.290,,,
1073,DENAL,1659,2573.150,440623.2,458560.1,17936.9,6.971,17930,2543.1,7.050,30.050,,,
1074,CARDE,1735,5418.970,331956.5,368520.6,36564.1,6.747,37494,5389.7,6.957,29.270,,,
1075,RICJ01,1639,342.100,458761.2,461233,2471.8,7.225,2135,313.4,6.812,28.700,,,
1076,MANRI,1641,126.040,471886.2,473515.1,1628.9,12.924,600,99.8,6.012,26.240,,,
1077,HELB,1949,3837.720,111368.6,138829.5,27460.9,7.156,28325,3811.7,7.431,26.020,,,
1078,VANCH,1571,5250.390,561255.1,594552.4,33297.3,6.342,34574,5224.9,6.617,25.490,,,
1079,MURG,1962,1052.540,66434.1,75278,8843.9,8.402,8187,1027.6,7.967,24.940,,,
1080,WICJO,2004,310.620,122289.5,124552.7,2263.2,7.286,2042,286.2,7.135,24.420,,,
1081,TAYANT,1712,2523.530,360378.8,377329.9,16951.1,6.717,17110,2499.6,6.845,23.930,,,
1082,KIRBR,1539,1536.230,569277.6,579807.3,10529.7,6.854,10499,1513.2,6.938,23.030,,,
1083,SCRB,1876,8085.900,148300.3,205944.1,57643.8,7.129,59935,8064.2,7.432,21.700,,,
1084,BRIA,1777,3529.480,299329.8,322787.8,23458,6.646,24527,3511.6,6.985,17.880,,,
1085,GREDAV,1697,203.000,336965.7,338776.2,1810.5,8.919,1294,186.2,6.950,16.800,,,
1086,DALRO,1616,256.680,542495.1,544718,2222.9,8.660,1514,240,6.308,16.680,,,
1087,TIT01,1649,808.330,517476.8,523488.9,6012.1,7.438,5836,792.9,7.360,15.430,,,
1088,CROK,1827,2342.540,141835,157147.5,15312.5,6.537,16916,2327.9,7.267,14.640,,,
1089,MURSTA,1562,2445.560,518796.9,534758.2,15961.3,6.527,15996,2431.4,6.579,14.160,,,
1090,ROGDE,1647,641.130,426739.6,430733.2,3993.6,6.229,4236,628,6.745,13.130,,,
1091,MORSTE,1736,2141.810,324954.9,339113.4,14158.5,6.611,14095,2128.7,6.621,13.110,,,
1092,DEASA,1769,7599.080,268511.4,323091.5,54580.1,7.182,55593,7587.8,7.327,11.280,,,
1093,MCGROB,1594,5667.550,509806.2,545771.5,35965.3,6.346,36431,5657.5,6.439,10.050,,,
1094,MANDA,1667,4535.310,407353.3,436662.8,29309.5,6.463,30628,4527,6.766,8.310,,,
1095,EVAJO,1691,3934.810,455822.4,483517.2,27694.8,7.038,27675,3927.7,7.046,7.110,,,
1096,GRIMAR,1707,1183.130,369339.9,377016.4,7676.5,6.488,8366,1178.2,7.101,4.930,,,
1097,SIMDA,1626,2935.670,500387,521129.5,20742.5,7.066,20316,2930.9,6.932,4.770,,,
1098,DAVDAN,1862,243.010,178841.2,181010.9,2169.7,8.928,1990,238.9,8.330,4.110,,,
1099,FIEMI,1653,9509.170,391874.8,457636.8,65762,6.916,67044,9506,7.053,3.170,,,
1100,LIPG,1591,2807.800,502022.3,520569.6,18547.3,6.606,18330,2806.2,6.532,1.600,,,
1101,KILM,1807,373.730,251494.3,254799.2,3304.9,8.843,2942,372.6,7.896,1.130,,,
1102,BURST,1881,308.390,161642.6,163673.8,2031.2,6.586,2032,307.7,6.604,0.690,,,1884456.965
1103,LEWWE,1748,2502.760,396913.3,414275.8,17362.5,6.937,18935,2505,7.559,-2.240,,,
1104,GRES,1707,513.400,366091.4,369339.9,3248.5,6.327,3306,515.9,6.408,-2.500,,,-73374.800
1105,CHAH,1570,6719.420,490032,532479.2,42447.2,6.317,43942,6722.2,6.537,-2.780,,,
1106,WEBP,1968,3293.540,57738.7,81115.2,23376.5,7.098,23576,3296.4,7.152,-2.860,,,
1107,ELLH,1631,2328.460,441225,456029,14804,6.358,15347,2331.5,6.582,-3.040,,,1811082.165
1108,WALAN,1759,2095.330,406085.2,421407.1,15321.9,7.312,15321,2100.7,7.293,-5.370,,,
1109,HALMI,1551,8503.000,503562.6,558663.1,55100.5,6.480,56157,8510.1,6.599,-7.100,,,
1110,STALEE,1820,4492.990,171166.8,204045.3,32878.5,7.318,32167,4500.1,7.148,-7.110,,,
1111,MONS,1601,146.600,534940.8,536479.3,1538.5,10.495,986,154.7,6.374,-8.100,,,
1112,EDMJ,1594,103.780,588689.4,589220.1,530.7,5.114,560,113.1,4.951,-9.320,,,
1113,CHAD,1656,4094.680,431725.8,460137.8,28412,6.939,29260,4106.5,7.125,-11.820,,,
1114,BAYJ,1587,2761.630,525344,542005.6,16661.6,6.033,16665,2776.4,6.002,-14.770,,,
1115,WEBP,1788,1360.960,233077.8,241906.5,8828.7,6.487,9951,1376.7,7.228,-15.740,,,
1116,BURJO,1967,12271.510,64202.7,154186.8,89984.1,7.333,91441,12287.8,7.442,-16.290,,,
1117,PULC,1619,3696.790,564596.9,589240.7,24643.8,6.666,25658,3713.6,6.909,-16.810,,,
1118,WICJO,1887,7237.020,49437.9,134416.1,84978.2,11.742,51816,7253.9,7.143,-16.880,,,
1119,STEMIC,1644,2570.550,442573.7,460033.1,17459.4,6.792,17462,2589.3,6.744,-18.750,,,
1120,POLA,1557,5505.740,508537.7,544486,35948.3,6.529,37423,5524.8,6.774,-19.060,,,
1121,FRAMI,1595,4976.870,495097.1,525480.2,30383.1,6.105,30383,4997.9,6.079,-21.030,,,
1122,GRIA,309,39.240,214230.2,214415,184.8,4.709,395,62.7,6.300,-23.460,,,
1123,KERK,1644,834.030,438011,442561.3,4550.3,5.456,5596,859.1,6.514,-25.070,,,
1124,GIBROY,1656,256.490,525367.8,527001.8,1634,6.371,1675,281.9,5.942,-25.410,,,
1125,LANWA,1573,337.290,508743.8,510460,1716.2,5.088,2238,368.5,6.073,-31.210,,,
1126,MCNK,1803,193.470,297532.8,299053.9,1521.1,7.862,1522,226.3,6.726,-32.830,,,
1127,ROBAA,1881,7889.230,106248.6,161641.8,55393.2,7.021,57579,7924,7.266,-34.770,,,
1128,GRAJU,1832,15696.150,121650.9,236184,114533.1,7.297,116429,15731,7.401,-34.850,,,
1129,SCHR,1688,364.330,408946.9,411796.9,2850,7.823,2582,401.3,6.434,-36.970,,,
1130,WORJOS,1957,4755.950,65182.3,98537,33354.7,7.013,34123,4796,7.115,-40.050,,,
1131,CLAMI,1696,283.110,369995.9,371353.6,1357.7,4.796,2137,325.5,6.565,-42.390,,,
1132,CLEJE,1607,3245.910,539173.4,560764.2,21590.8,6.652,22300,3290.2,6.778,-44.290,,,
1133,MAIK,1682,593.260,429038.2,433887.7,4849.5,8.174,4844,637.6,7.597,-44.340,,,
1134,HUNRI,1909,686.300,106793,111447.1,4654.1,6.781,5043,732.5,6.885,-46.200,,,
1135,CARD,2070,7154.370,5258.3,57741.9,52483.6,7.336,57052,7200.8,7.923,-46.430,,,
1136,GREG,1839,103.250,210833.2,211032,198.8,1.925,1031,154,6.695,-50.750,,,
1137,CLIJ,1579,150.410,491616,493360.1,1744.1,11.596,1328,201.2,6.600,-50.790,,,
1138,CLEWI,1579,1618.580,464579.4,473678.9,9099.5,5.622,9327,1670.2,5.584,-51.620,,,
1139,GRAJUL,1575,2150.930,490787.1,503247.2,12460.1,5.793,13255,2202.7,6.018,-51.770,,,
1140,FRYT,1821,4147.520,143883.6,174223.1,30339.5,7.315,30218,4199.5,7.196,-51.980,,,
1141,FRAMI,1574,822.110,473342.4,477479.6,4137.2,5.032,5599,876.6,6.387,-54.490,,,
1142,SLAM,1750,7460.880,296631.5,347305.1,50673.6,6.792,51331,7515.6,6.830,-54.720,,,
1143,MICA,1944,5266.690,63352.5,99597.4,36244.9,6.882,37129,5328.2,6.968,-61.510,,,
1144,LANA,1592,8663.550,460619.9,513443.6,52823.7,6.097,54522,8726.1,6.248,-62.550,,,
1145,MCLB,1842,722.550,131107.5,136675.4,5567.9,7.706,5519,786.6,7.016,-64.050,,,
1146,WETR,1631,1390.050,464373.7,474663.7,10290,7.403,10316,1455.6,7.087,-65.550,,,
1147,CLAKE,1674,1065.570,451526,458057.7,6531.7,6.130,8204,1132.7,7.243,-67.130,,,
1148,ROBMA,1687,294.090,317900.8,319172.4,1271.6,4.324,2524,362.6,6.961,-68.510,,,
1149,BALDO,1810,160.890,130462.9,131946.3,1483.4,9.220,1661,231.6,7.172,-70.710,,,
1150,LESJ,1608,6213.800,466601.5,509468,42866.5,6.899,43870,6285.6,6.979,-71.800,,,
1151,COURI,1840,4473.320,136283.4,166296.6,30013.2,6.709,31434,4546.6,6.914,-73.280,,,
1152,BOWDAR,1801,11585.370,195002.2,280385.5,85383.3,7.370,87036,11660.2,7.464,-74.830,,,
1153,BLACH,1836,742.250,164130.8,170902.7,6771.9,9.123,6266,818.3,7.657,-76.050,,,
1154,CORWI,1741,10656.600,270931.7,343443.8,72512.1,6.804,74554,10733.2,6.946,-76.600,,,
1155,TALM,1572,3409.950,517857.2,536532.9,18675.7,5.477,19062,3486.7,5.467,-76.750,,,
1156,BENJE,1623,356.270,521694.6,524836.9,3142.3,8.820,3136,433.9,7.227,-77.630,,,
1157,FELC,1642,200.890,561199.6,561570.1,370.5,1.844,1736,278.7,6.229,-77.810,,,
1158,SCHJA,1761,6575.660,382017.2,428168.2,46151,7.018,47733,6656.7,7.171,-81.040,,,
1159,PITH,1751,300.760,305402.1,307230.1,1828,6.078,2576,382.5,6.735,-81.740,,,
1160,FAIC,1842,2166.130,116224.8,131107.1,14882.3,6.870,15981,2253.7,7.091,-87.570,,,
1161,ECKS,1623,4140.790,465802.3,493073.3,27271,6.586,28174,4237.3,6.649,-96.510,,,
1162,PRADA,1663,6039.620,434964.9,475246.1,40281.2,6.669,41805,6140.5,6.808,-100.880,,,
1163,DEPK,1796,2874.090,201247.5,221756,20508.5,7.136,22244,2977,7.472,-102.910,,,
1164,WOOJA,1664,2094.220,374035.2,388592.8,14557.6,6.951,14731,2202.4,6.689,-108.180,,,
1165,JORS,1982,988.650,39995.4,46048.2,6052.8,6.122,7935,1096.9,7.234,-108.250,,,
1166,FARMI,1618,7062.400,94090,499502.4,405412.4,57.404,51077,7176.5,7.117,-114.100,,,
1167,LYNS,1995,10343.090,40230.3,111398.8,71168.5,6.881,72535,10457.9,6.936,-114.810,,,
1168,HUGJA,1552,1442.140,510184.7,518762.9,8578.2,5.948,9017,1558.1,5.787,-115.960,,,
1169,MCLB,1658,8424.120,407278.3,464702.9,57424.6,6.817,58310,8543.5,6.825,-119.380,,,
1170,HICWIL,1837,9172.890,127060.4,197065.2,70004.8,7.632,71320,9295.1,7.673,-122.210,,,
1171,PATCA,1590,7137.910,455684.4,499161.9,43477.5,6.091,44711,7262.5,6.156,-124.590,,,
1172,LIGJO,1968,430.610,54303.7,57533,3229.3,7.499,3946,560.3,7.043,-129.690,,,
1173,MANRI,1584,1478.650,500730,510040.5,9310.5,6.297,10402,1609.2,6.464,-130.550,,,
1174,ROSE,1854,103.210,224419.4,224941.3,521.9,5.057,1819,233.8,7.780,-130.590,,,
1175,COXR,1662,2575.590,434461.5,453722.6,19261.1,7.478,20578,2708.7,7.597,-133.110,,,
1176,SAND,1707,138.000,365068.3,366080.1,1011.8,7.332,1894,274.6,6.897,-136.600,,,
1177,JOHROY,1870,2897.810,79121.3,100217.5,21096.2,7.280,22584,3039.1,7.431,-141.290,,,
1178,JOHTE,1596,1658.890,479152.2,489194.8,10042.6,6.054,11227,1801.7,6.231,-142.810,,,
1179,LOOJ,1586,2261.680,538712.2,554132.9,15420.7,6.818,16278,2418.6,6.730,-156.920,,,
1180,DUNE,1806,6497.980,176088.7,221656.4,45567.7,7.013,47463,6660.2,7.126,-162.220,,,
1181,GRES,1678,165.490,417101.9,417441.4,339.5,2.051,2096,330.8,6.336,-165.310,,,
1182,BUFD,1841,5935.180,87754.4,129457.4,41703,7.026,42940,6101.1,7.038,-165.920,,,
1183,LAYJ,1669,104.780,473421.9,474480,1058.1,10.098,1837,273.5,6.717,-168.720,,,
1184,FARMI,1573,1750.150,487717,499424.3,11707.3,6.689,12590,1918.9,6.561,-168.750,,,
1185,WHIGR,1617,529.610,469288.3,469289.2,0.9,0.002,4392,698.4,6.289,-168.790,,,
1186,GRAJUL,1826,1926.450,153335.1,167022.7,13687.6,7.105,14872,2097.7,7.090,-171.250,,,
1187,PECM,1790,4290.060,184743.2,216440.1,31696.9,7.388,33493,4462.4,7.506,-172.340,,,
1188,HAMTH,1686,379.860,346312.2,376802.7,30490.5,80.268,4158,553,7.519,-173.140,,,
1189,CRAMI,1795,6023.700,211987.7,254776.4,42788.7,7.103,44971,6197,7.257,-173.300,,,
1190,EDMJ,1592,508.800,528379.7,531158.9,2779.2,5.462,3637,682.1,5.332,-173.300,,,
1191,NORPA,1917,649.160,76313,81003.3,4690.3,7.225,6006,824.1,7.288,-174.940,,,
1192,PUCK,1826,748.520,141371.9,146374.6,5002.7,6.683,6828,923.5,7.394,-174.980,,,
1193,ONED,1638,2958.340,462853.2,483804.4,20951.2,7.082,21503,3137.9,6.853,-179.560,,,
1194,KELRO,1586,718.850,497291.1,501487.8,4196.7,5.838,6191,905,6.841,-186.150,,,
1195,RUSR,1975,245.460,90619.3,92238.4,1619.1,6.596,3323,437.1,7.602,-191.640,,,
1196,CARDE,1837,527.090,197065.4,201069,4003.6,7.596,5401,719.9,7.502,-192.810,,,
1197,STED,1857,2729.480,100445.5,119690.5,19245,7.051,21534,2930.5,7.348,-201.020,,,
1198,MCCMIK,1634,6229.940,444722.5,487278.6,42556.1,6.831,44496,6438.6,6.911,-208.660,,,
1199,BROST,1691,2008.400,385176,399468.2,14292.2,7.116,15496,2217.6,6.988,-209.200,,,
1200,BROTI,1987,2960.490,36549.8,57717.3,21167.5,7.150,22722,3178,7.150,-217.510,,,
1201,WHIGR,1597,137.280,508336.4,508564.2,227.8,1.659,2297,357,6.434,-219.720,,,
1202,LIVM,1703,2167.620,352795,367635.9,14840.9,6.847,16388,2393.6,6.847,-225.980,,,
1203,CULJA,1537,627.040,553831,558164.8,4333.8,6.912,5966,864.4,6.902,-237.360,,,
1204,LANWA,1684,3458.920,364343.9,388494.8,24150.9,6.982,27040,3698.7,7.311,-239.780,,,
1205,COKJ,1550,83.270,494378.1,494648.8,270.7,3.251,2180,323.2,6.745,-239.930,,,
1206,SWEF,1568,4845.790,505913,538888.3,32975.3,6.805,32831,5089.2,6.451,-243.410,,,
1207,DONR,1838,4112.640,145574,175995.8,30421.8,7.397,32362,4367.6,7.410,-254.960,,,
1208,GREG,1616,3815.570,466571.5,493032.3,26460.8,6.935,27760,4077.4,6.808,-261.830,,,
1209,LOTG,1644,2545.440,379493.8,396520.9,17027.1,6.689,18846,2815.8,6.693,-270.360,,,
1210,PASD,1604,54.000,503225,503711.1,486.1,9.002,2143,327.8,6.538,-273.800,,,
1211,ROBBR,1980,2455.270,40657.9,57553.2,16895.3,6.881,18635,2736,6.811,-280.730,,,
1212,WHIJ01,1945,4149.310,66837.8,95826.8,28989,6.986,30302,4432.3,6.837,-282.990,,,
1213,BAYJ,1565,924.200,505265.2,510902.2,5637,6.099,7413,1210.4,6.124,-286.200,,,
1214,COFS,1543,5457.900,511661.6,548680.6,37019,6.783,37750,5744.2,6.572,-286.300,,,
1215,THOMIC,1823,1133.430,134858.1,142942.7,8084.6,7.133,10263,1429.8,7.178,-296.370,,,
1216,WALST,1971,5311.070,45376.1,80681.3,35305.2,6.647,37757,5610.7,6.729,-299.630,,,
1217,RICS,1920,14759.290,67749.3,196352.1,128602.8,8.713,107061,15060.2,7.109,-300.910,,,
1218,BULR,1566,2231.470,508332.1,520760.2,12428.1,5.569,14071,2534.1,5.553,-302.630,,,
1219,PENDAN,1695,236.150,357572,359098.2,1526.2,6.463,3497,549.3,6.366,-313.150,,,
1220,HAMRI,1949,2342.360,93727.2,111368.5,17641.3,7.531,19548,2655.9,7.360,-313.540,,,
1221,LINED,1942,891.460,65324.3,71605.3,6281,7.046,8317,1211.9,6.863,-320.440,,,
1222,ANDR,1639,324.090,454447.2,456886.5,2439.3,7.527,4297,663.9,6.472,-339.810,,,
1223,SHEH,1800,4161.900,184355.9,215308.5,30952.6,7.437,33235,4510,7.369,-348.100,,,
1224,PETL,1558,320.400,431923.3,434409.7,2486.4,7.760,4444,669,6.643,-348.600,,,
1225,DAVKE,1524,3912.980,492407.9,517728.2,25320.3,6.471,24461,4261.8,5.740,-348.820,,,
1226,BOON,1817,175.470,117170.5,118715.8,1545.3,8.807,3625,554.1,6.542,-378.630,,,
1227,CARGA,1603,153.810,509479.6,510800.9,1321.3,8.590,3234,539.9,5.990,-386.090,,,
1228,KELJA,1786,6401.540,262686.6,321554,58867.4,9.196,55953,6802.2,8.226,-400.660,,,
1229,ULAL,1564,3942.640,498691,520499.8,21808.8,5.532,23739,4410.7,5.382,-468.060,,,
1230,GATJ,1925,334.530,163005.4,168470.2,5464.8,16.336,6354,820.8,7.741,-486.270,,,
1231,BEVL,1577,5127.730,398171.2,479643.3,81472.1,15.889,38788,5684.5,6.823,-556.770,,,
1232,MORJAR,1913,4233.490,88463.6,125606.3,37142.7,8.774,37764,5139.8,7.347,-906.310,,,
1233,TAYJON,1822,1835.120,188271.2,211806.3,23535.1,12.825,23617,2949.9,8.006,-1114.780,,,
1234,QUIJA,1690,8340.140,461060.8,515838.3,54777.5,6.568,65535,10067.5,6.510,-1727.360,,,
1235,PERT,310,5633.220,191409.1,250298.9,58889.8,10.454,57894,7674.6,7.544,-2041.380,,,
1236,MOODO,1685,4524.790,367691,415345,47654,10.532,48996,6575.9,7.451,-2051.110,,,
1237,LOUR,1597,1138.200,532408.7,539412.8,7004.1,6.154,20893,3356.6,6.224,-2218.400,,,
1238,BAKJE,1689,4392.020,398954.9,429539.4,30584.5,6.964,50038,7354.7,6.804,-2962.680,,,
1239,ANDANT,1526,155.140,589437.4,590466.3,1028.9,6.632,26314,3472.8,7.577,-3317.660,,,
1240,STRJOE,1794,8442.950,195778.4,253181.4,57403,6.799,89082,12843.6,6.936,-4400.650,,,
1241,WAGL,2034,3576.350,27.4,93316.8,93289.4,26.085,86061,12702.6,6.775,-9126.250,,,
1242,STRAND,1597,3799.090,508572.3,532407.1,23834.8,6.274,65535,14109.2,4.645,-10310.110,,,
1243,JOYGE,1554,3841.140,529933.2,553952.3,24019.1,6.253,111590,18707.5,5.965,-14866.360,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Total Fuel : ,1811082.165,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
