,,,,,,,Anomaly In Fuel Consumption ,,,,,,,
,,,,,,,,,,,,,,
Sl.No.,Driver's code,Truck,Tot.Fuel ,Odo - Min,Odo - Max,Total Dist. Driven,MPG Truck/Driver,Distance ,Tot.Fuel Burned,MPG,Fuel Delta - (Fuel Purchased -Fuel Burned),,,
,,,Purchased,,,,,,,,,,,
,,,,,,,,,,,,,,
889,FREDA,1883,10711.290,88745.4,166944.4,78199,7.301,79007,10551.7,7.488,159.590,,,
890,MORHA,2033,4363.670,448.2,30743.4,30295.2,6.943,29515,4204.8,7.019,158.870,,,
891,HOWK,1680,3463.150,447996.8,471008.3,23011.5,6.645,22343,3304.6,6.761,158.550,,,
892,PERAL,1887,429.370,134567.4,137730.5,3163.1,7.367,2189,271,8.077,158.370,,,
893,NORJI,1529,429.510,526439.8,528744,2304.2,5.365,1892,271.3,6.974,158.210,,,
894,TYLA,1623,4493.030,493570.8,520885.5,27314.7,6.079,27309,4336.4,6.298,156.630,,,
895,BEAKEV,1594,789.430,550160.9,555530,5369.1,6.801,4245,633.5,6.701,155.930,,,
896,JONRI,1797,4957.290,195816.4,229753.4,33937,6.846,34239,4803.9,7.127,153.390,,,
897,DAVKE,1529,184.070,528744.4,530012.4,1268,6.889,180,31.6,5.696,152.470,,,
898,BATK,1631,846.790,456132.3,461478.2,5345.9,6.313,4636,694.9,6.671,151.890,,,
899,RAMK,1662,6083.460,499281.5,540924.2,41642.7,6.845,41625,5931.7,7.017,151.760,,,
900,SCHN,1944,1060.460,99597.4,106727.3,7129.9,6.723,6423,909.7,7.061,150.760,,,
901,LEBK,1652,5983.950,428031.6,467385.4,39353.8,6.577,38837,5834.4,6.657,149.550,,,
902,WILSTE,1773,2411.070,358347.2,374528.3,16181.1,6.711,16036,2262.4,7.088,148.670,,,
903,MARMIS,1520,2767.740,570092.6,587757.3,17664.7,6.382,18918,2619.4,7.222,148.340,,,
904,LANA,1586,1091.430,532414.9,538711.9,6297,5.769,5527,943.7,5.857,147.730,,,
905,WEBCA,1571,2012.670,594558.1,608186.1,13628,6.771,13586,1865.3,7.284,147.370,,,
906,DEPK,1938,444.370,5706,127157.8,121451.8,273.312,2110,297,7.104,147.370,,,
907,JOHSTE,1666,6999.660,40947.9,391674.5,350726.6,50.106,48489,6853.5,7.075,146.160,,,
908,TANK,1670,1409.550,487509.3,496673.9,9164.6,6.502,8591,1265.4,6.789,144.150,,,
909,KILM,1562,702.960,575032.1,579419.1,4387,6.241,3879,559.2,6.937,143.760,,,
910,BUFD,2015,5057.520,36585.1,73100.2,36515.1,7.220,36451,4914.3,7.417,143.220,,,
911,DELK,1698,7319.050,329709.7,377302.2,47592.5,6.503,48130,7176.4,6.707,142.650,,,
912,WILSAM,1618,996.450,78674,449316.4,370642.4,371.963,5809,854.5,6.798,141.950,,,
913,SHAMAR,1683,13064.720,374047.2,472562,98514.8,7.541,99480,12923.7,7.697,141.020,,,
914,EYCK,1670,164.560,496673.9,497524.7,850.8,5.170,169,25.2,6.706,139.360,,,
915,JOHSTE,1629,144.200,406046.6,407174.7,1128.1,7.823,27,5.2,5.192,139.000,,,
916,THOST,1733,5596.350,374004,411880.8,37876.8,6.768,38213,5459.1,7.000,137.250,,,
917,MITD,1938,8229.270,64796.4,120877.8,56081.4,6.815,54140,8092.4,6.690,136.870,,,
918,KERK,2010,3204.390,84047,105831,21784,6.798,21335,3068.6,6.953,135.790,,,
919,LEVS,1630,7643.470,436246,491009.2,54763.2,7.165,53672,7507.8,7.149,135.670,,,
920,BROERI,1629,8774.430,407175.6,469586.1,62410.5,7.113,62368,8639.1,7.219,135.330,,,
921,HELB,1662,4091.520,470996.6,499275.4,28278.8,6.912,28564,3956.9,7.219,134.620,,,
922,MATJU,1570,378.500,534184.2,536547.8,2363.6,6.245,1568,245.1,6.397,133.400,,,
923,AYEJ,1568,1611.800,538918.2,548863.1,9944.9,6.170,9693,1480.3,6.548,131.500,,,
924,DIXGR,1668,666.230,496813.2,501173.8,4360.6,6.545,3839,535,7.176,131.230,,,
925,MAYMI,1591,1785.280,526246.2,536319.8,10073.6,5.643,9504,1654.3,5.745,130.980,,,
926,JOHDU,1629,644.060,481930,486645,4715,7.321,3336,513.5,6.497,130.560,,,
927,BEAKEV,1700,5461.030,409963.2,444764.9,34801.7,6.373,35581,5330.6,6.675,130.430,,,
928,CHET,1895,10089.200,79302.1,153187.6,73885.5,7.323,72970,9958.8,7.327,130.400,,,
929,SEAM,1566,261.300,541264.4,542960.9,1696.5,6.493,1032,131.1,7.872,130.200,,,
930,WELROB,1658,263.540,493862,495196.1,1334.1,5.062,1016,134.1,7.576,129.440,,,
931,BLAJO,1968,1941.150,81685.2,95085.9,13400.7,6.903,13246,1814,7.302,127.150,,,
932,TAYCHA,1531,3349.800,457957.5,480175.8,22218.3,6.633,23372,3222.9,7.252,126.900,,,
933,ELLTH,1530,688.930,548250.6,551565.9,3315.3,4.812,2936,562.2,5.222,126.730,,,
934,COKJ,1563,4582.100,364114.1,477292.3,113178.2,24.700,31038,4456.8,6.964,125.300,,,
935,CROTR,1975,5346.670,51058.3,90619.3,39561,7.399,39767,5222.2,7.615,124.470,,,
936,DAVSA,1840,1750.550,198290.7,210739.6,12448.9,7.111,11392,1626.6,7.004,123.950,,,
937,BYASH,1602,3092.630,534931.8,553195.8,18264,5.906,18244,2969.6,6.144,123.030,,,
938,SAVE,2038,450.020,47063.1,49560.4,2497.3,5.549,2503,327.1,7.652,122.920,,,
939,FLIE,1944,2681.220,106999.8,126577.5,19577.7,7.302,19541,2559.2,7.636,122.020,,,
940,GOLT,1629,168.020,480891.2,481923.4,1032.2,6.143,344,46.6,7.382,121.420,,,
941,GRIM01,1751,7321.220,307231.4,357458.7,50227.3,6.861,51135,7201.1,7.101,120.120,,,
942,EDMJ,1537,447.570,558497.8,560601.8,2104,4.701,2169,327.9,6.615,119.670,,,
943,RANST,1896,246.820,219294.4,221671.5,2377.1,9.631,952,127.4,7.473,119.420,,,
944,BURST,1814,715.090,182537,186640.9,4103.9,5.739,4269,595.7,7.166,119.390,,,
945,GEHC,1659,2350.650,424315.2,440622.3,16307.1,6.937,16283,2231.8,7.296,118.850,,,
946,MCKBR,1660,2601.080,443686.7,461745.1,18058.4,6.943,18045,2482.3,7.269,118.780,,,
947,WILBOB,1818,7337.750,168521.3,222980.2,54458.9,7.422,54361,7220.7,7.528,117.050,,,
948,JAST,1728,3050.980,319669.4,341823.2,22153.8,7.261,22288,2935.6,7.592,115.380,,,
949,FARMI,1647,369.210,527563.5,530399.8,2836.3,7.682,1940,254.7,7.617,114.510,,,
950,ADAG,1857,4064.350,119691.4,148476.9,28785.5,7.082,28768,3951.8,7.280,112.550,,,
951,AUSJ,1795,1339.800,263763.6,273143.3,9379.7,7.001,8870,1227.7,7.225,112.100,,,
952,SIMSC,1688,5730.760,360633.2,398010.5,37377.3,6.522,37446,5619.4,6.664,111.360,,,
953,WHIKEV,1855,3469.160,215372.4,239154.6,23782.2,6.855,23805,3359.5,7.086,109.660,,,
954,AUSGE,1643,1811.340,495464.4,507273.6,11809.2,6.520,11807,1702.6,6.935,108.740,,,
955,SWAD,1552,2867.680,549768.3,567529.1,17760.8,6.193,17742,2759.1,6.430,108.580,,,
956,ALLMA,1959,4658.890,63842.8,98892.4,35049.6,7.523,34387,4553.2,7.552,105.690,,,
957,AUSGE,1556,2199.420,543210.6,557243.2,14032.6,6.380,14030,2094.2,6.699,105.220,,,
958,WOLM,1697,4123.510,338785.3,368025.2,29239.9,7.091,28888,4019.1,7.188,104.410,,,
959,KIRK,1964,15923.410,60414.8,177880.6,117465.8,7.377,119333,15820.2,7.543,103.210,,,
960,HELB,1574,728.810,489754.3,494537.8,4783.5,6.563,4305,625.7,6.880,103.110,,,
961,MARMIS,1674,137.620,514539,514910.7,371.7,2.701,224,34.6,6.474,103.020,,,
962,MANBE,1618,5373.380,138874.5,535001.4,396126.9,73.720,35993,5271.1,6.828,102.280,,,
963,KERK,1895,505.180,186500,189870.6,3370.6,6.672,2626,404.2,6.497,100.980,,,
964,WILB01,1644,3058.460,396574.7,416877.8,20303.1,6.638,19617,2957.5,6.633,100.960,,,
965,MANRI,1654,584.900,521757,526078.9,4321.9,7.389,3088,484,6.380,100.900,,,
966,FORG,1561,7569.320,493721.8,542976.8,49255,6.507,50751,7468.9,6.795,100.420,,,
967,KINJ,1805,7612.540,150599.8,206715.7,56115.9,7.372,54986,7514.5,7.317,98.040,,,
968,GUSC,1641,1552.230,440506.6,450204.6,9698,6.248,9631,1455.4,6.617,96.830,,,
969,LOUR,1521,4406.220,583918.2,612074.6,28156.4,6.390,28906,4311.1,6.705,95.120,,,
970,FELC,1771,802.180,396110.9,401094.2,4983.3,6.212,4983,707.7,7.041,94.480,,,
971,CRODAN,1753,317.010,338228.9,339835.1,1606.2,5.067,1607,222.7,7.216,94.310,,,
972,EDMJ,1563,2033.480,396653.2,499325.4,102672.2,50.491,11148,1941.2,5.743,92.280,,,
973,CARJEF,1880,497.400,198541.8,202044,3502.2,7.041,2697,405.9,6.644,91.500,,,
974,HERMI,1770,1196.220,375761.8,384102.8,8341,6.973,7661,1105.2,6.932,91.020,,,
975,JONQ,1574,2750.360,494544.2,511348.2,16804,6.110,16577,2659.5,6.233,90.860,,,
976,GOOA,1631,1163.840,511785.8,519209.2,7423.4,6.378,7228,1073.6,6.732,90.240,,,
977,MAYMI,1801,489.300,306433.9,309230.3,2796.4,5.715,2797,399.3,7.005,90.000,,,
978,JACJOH,1570,1664.480,540349.2,550774.1,10424.9,6.263,10426,1574.5,6.622,89.980,,,
979,MORGA,1880,1448.300,187603.8,198528.1,10924.3,7.543,10950,1358.6,8.060,89.700,,,
980,AMMC,1628,146.700,451760.6,451940.5,179.9,1.226,187,57,3.281,89.700,,,
981,AUSGE,1770,248.990,384161.7,385319.7,1158,4.651,888,159.7,5.560,89.290,,,
982,ROBJEF,1539,835.480,580422.2,585811.9,5389.7,6.451,5331,746.4,7.142,89.080,,,
983,PETDA,1615,4059.610,434582,463434.4,28852.4,7.107,28144,3971.8,7.086,87.810,,,
984,ALBME,1549,2010.520,573032.8,585906.2,12873.4,6.403,12260,1922.8,6.376,87.720,,,
985,SWEF,1840,3363.590,166328.9,189318.8,22989.9,6.835,22997,3277.6,7.016,85.990,,,
986,CARRO,1897,8647.930,13802.6,153353.9,139551.3,16.137,61602,8562.5,7.194,85.430,,,
987,FRAH,1682,1398.840,358718.8,368129.6,9410.8,6.728,8710,1313.6,6.631,85.240,,,
988,RAMRI,1591,515.000,498176.7,501092.6,2915.9,5.662,2371,430,5.514,85.000,,,
989,BRESC,1765,5850.850,285756.7,325315.8,39559.1,6.761,40228,5766.6,6.976,84.250,,,
990,HARTI,1556,7216.820,498167.1,542993,44825.9,6.211,45985,7133.2,6.447,83.620,,,
991,FISDA,1611,10043.980,423301.7,493398.2,70096.5,6.979,69459,9960.4,6.974,83.580,,,
992,SHEH,1664,399.120,389140.1,392191.9,3051.8,7.646,2240,315.7,7.095,83.420,,,
993,BOSB,1806,625.170,221725.5,226556.7,4831.2,7.728,4159,541.9,7.675,83.270,,,
994,KENEM,1647,110.040,527308.6,527563.5,254.9,2.316,230,27.3,8.425,82.740,,,
995,THODAV,1909,327.130,87046.9,89288.7,2241.8,6.853,1738,246.4,7.054,80.730,,,
996,WINJOE,1655,12200.910,60480.3,559173.4,498693.1,40.873,87630,12120.7,7.230,80.210,,,
997,NASDE,1928,361.950,167524.6,169495,1970.4,5.444,1971,282.3,6.982,79.650,,,
998,ARCM,1570,140.500,539886,540347.9,461.9,3.288,462,61.7,7.488,78.800,,,
999,AUSGE,2004,4608.850,124554.1,156781.5,32227.4,6.993,33444,4531,7.381,77.850,,,
1000,COOLAW,1549,1225.870,565549.2,572745.4,7196.2,5.870,7244,1148.1,6.310,77.770,,,
1001,JAMJA,1913,821.770,125606.5,131023.1,5416.6,6.591,5183,744.4,6.963,77.370,,,
1002,FREDA,1777,218.390,327071.7,327985.2,913.5,4.183,1015,141.1,7.193,77.290,,,
1003,WHIKEV,1591,561.340,523085.9,526245.7,3159.8,5.629,3160,485.7,6.506,75.640,,,
1004,WESD,1966,78.800,32608.4,33337.2,728.8,9.249,27,3.3,8.182,75.500,,,
1005,SHAMAR,1582,192.860,532286.5,533960.8,1674.3,8.681,856,118.7,7.211,74.160,,,
1006,WAKT,1591,1180.780,488908.9,496167.9,7259,6.148,6182,1106.7,5.586,74.080,,,
1007,FORRU,1743,1044.800,416840.6,423463.2,6622.6,6.339,6627,971.3,6.823,73.500,,,
1008,ROSE,1673,155.940,505173.1,505713.7,540.6,3.467,664,84.5,7.858,71.440,,,
1009,ROSE,1723,73.590,400149.9,400607.1,457.2,6.213,14,2.5,5.600,71.090,,,
1010,GERJ,1938,3213.650,130139.5,153166.2,23026.7,7.165,23043,3143.2,7.331,70.450,,,
1011,MARMIS,1586,172.370,531663.6,532414.4,750.8,4.356,615,102.1,6.024,70.270,,,
1012,CEEE,1839,5070.610,162430.7,198401.6,35970.9,7.094,36177,5000.9,7.234,69.710,,,
1013,NOEL,1626,77.690,548324.2,548915.7,591.5,7.614,9,8.2,1.098,69.490,,,
1014,SUTD,1569,1321.180,517996.2,526142.4,8146.2,6.166,7930,1252.4,6.332,68.780,,,
1015,JAMJA,1647,3736.500,430739.3,455569.8,24830.5,6.645,24629,3668.2,6.714,68.300,,,
1016,LAYJ,1650,70.170,514412.2,514583.4,171.2,2.440,5,2.6,1.923,67.570,,,
1017,RANST,1670,1247.600,476950,486515.5,9565.5,7.667,8133,1180.5,6.889,67.100,,,
1018,RUSR,1713,7922.900,377577.4,429448.8,51871.4,6.547,53596,7856.4,6.822,66.500,,,
1019,TATLE,1938,414.010,127159.3,130086.6,2927.3,7.071,2468,348.1,7.090,65.910,,,
1020,SABW,1692,738.710,490353.4,495388.2,5034.8,6.816,4718,672.9,7.011,65.810,,,
1021,COOLAW,1670,130.920,487029.9,487486.2,456.3,3.485,514,65.3,7.871,65.620,,,
1022,HELB,1650,1131.980,470874.4,478420,7545.6,6.666,7540,1067.5,7.063,64.480,,,
1023,BAKJE,1552,647.540,545566.5,549765.4,4198.9,6.484,4061,583.5,6.960,64.040,,,
1024,CLIJ,1619,3640.890,490560.4,516222.4,25662,7.048,24896,3577.7,6.959,63.190,,,
1025,HELB,1530,3397.980,0,573175.2,573175.2,168.681,20839,3335.5,6.248,62.480,,,
1026,KENEM,1651,4242.620,460964.2,491626.1,30661.9,7.227,30726,4181.6,7.348,61.020,,,
